<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20241120,130000,93363.95,93712.34,92906.85,93549.96,3050.9405323518,0
BTC.V,60,20241120,140000,93549.97,93840.9,93409.68,93616.13,3706.9729214742,0
BTC.V,60,20241120,150000,93616.12,94664.93,93616.12,94457.43,8049.08693325,0
BTC.V,60,20241120,160000,94457.43,94800.32,94010.68,94693.66,6927.074485444,0
BTC.V,60,20241120,170000,94688.86,94902.42,94129.89,94815.77,6957.435512189,0
BTC.V,60,20241120,180000,94815.76,94903.99,93399.06,94142.77,8937.248141633,0
BTC.V,60,20241120,190000,94135.97,94423.89,93848.66,94015.63,5406.376106708,0
BTC.V,60,20241120,200000,94010.26,94356.44,93250.22,93764.25,6738.150397555,0
BTC.V,60,20241120,210000,93742.93,94094,93327.78,94093.05,4791.439154951,0
BTC.V,60,20241120,220000,94093.06,94682.27,93875.55,94342.47,5752.362938122,0
BTC.V,60,20241120,230000,94346.47,94566.14,93976.8,94431.03,3625.8140134,0
BTC.V,60,20241120,235900,94431.02,94560.49,94004.08,94225.53,2720.250001994,0
BTC.V,60,20241121,010000,94225.52,94352.83,93840.4,94352.82,2617.229325931,0
BTC.V,60,20241121,020000,94356.9,94990.45,94262.44,94791.06,3884.5384286472,0
BTC.V,60,20241121,030000,94791.07,95013.65,94697.59,94780.31,2563.2800900555,0
BTC.V,60,20241121,040000,94779.2,94833.38,94118.05,94493.82,3924.251445013,0
BTC.V,60,20241121,050000,94493.81,95997.02,94489.68,95892.96,8086.6124550606,0
BTC.V,60,20241121,060000,95892.95,97717.38,95892,97593.46,10733.347098611,0
BTC.V,60,20241121,070000,97605.46,97798.16,96760.91,97386.41,8214.03050164,0
BTC.V,60,20241121,080000,97390.03,97463.23,96855.24,97062.22,5591.1025377625,0
BTC.V,60,20241121,090000,97071.94,97432.63,96972.51,97030.74,3026.7681214981,0
BTC.V,60,20241121,100000,97030.74,97180.55,96791.41,97157.61,2726.1554453543,0
BTC.V,60,20241121,110000,97157.61,97725.86,97070.57,97622.94,4113.684131161,0
BTC.V,60,20241121,120000,97622.94,97797.27,97373.21,97783.95,3190.616640234,0
BTC.V,60,20241121,130000,97781.79,98349.99,97739.54,97916.63,6708.659201978,0
BTC.V,60,20241121,140000,97916.63,98205.98,97435.61,97436.37,4447.974803205,0
BTC.V,60,20241121,150000,97436.37,97755.58,97044.16,97555.67,6263.495816117,0
BTC.V,60,20241121,160000,97546.13,97715.61,96557.09,97117.97,6565.438591423,0
BTC.V,60,20241121,170000,97089.97,97089.97,95644.45,96732.77,4971.192827709,0
