<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
8862.6,8872.61,8785.59,8793.61,0,0,2024-10-18 17:00:00
8798.31,8807.26,8722.91,8783.59,0,0,2024-10-21 10:00:00
8782.39,8807.67,8768.56,8781.9,0,0,2024-10-21 11:00:00
8777.16,8786.47,8764.32,8775.46,0,0,2024-10-21 12:00:00
8772.12,8801.39,8740.18,8746.91,0,0,2024-10-21 13:00:00
8744.39,8767.07,8733.89,8760.77,0,0,2024-10-21 14:00:00
8760.14,8779.51,8724.36,8752.75,0,0,2024-10-21 15:00:00
8752.96,8779.08,8685.2,8706.94,0,0,2024-10-21 16:00:00
8705.73,8720.24,8644.45,8654.39,0,0,2024-10-21 17:00:00
8677.75,8732.8,8677.75,8726.67,0,0,2024-10-22 10:00:00
8727.74,8780.82,8707.23,8753.32,0,0,2024-10-22 11:00:00
8754.42,8761.83,8713.07,8737.45,0,0,2024-10-22 12:00:00
8737.9,8744.55,8692.57,8708.7,0,0,2024-10-22 13:00:00
8703.44,8715.13,8682.82,8696.98,0,0,2024-10-22 14:00:00
8695.98,8853.41,8693.07,8840.11,0,0,2024-10-22 15:00:00
8849.79,8912.18,8803.15,8810.13,0,0,2024-10-22 16:00:00
8809.3,8869.19,8805.33,8838.6,0,0,2024-10-22 17:00:00
8853.83,8865.55,8770.07,8770.45,0,0,2024-10-23 10:00:00
8765.9,8771.75,8728.07,8743.19,0,0,2024-10-23 11:00:00
8738.41,8768.31,8737.42,8761.96,0,0,2024-10-23 12:00:00
8762.25,8769.67,8727.1,8733.64,0,0,2024-10-23 13:00:00
8733.64,8766.37,8729.83,8762.1,0,0,2024-10-23 14:00:00
8764.31,8856.68,8763.79,8769.48,0,0,2024-10-23 15:00:00
8767.72,8787.67,8664.68,8754.79,0,0,2024-10-23 16:00:00
8758.29,8769.85,8712.4,8714.69,0,0,2024-10-23 17:00:00
8779.05,8871.12,8779.05,8861.19,0,0,2024-10-24 10:00:00
8862.15,8870.25,8842.08,8868.6,0,0,2024-10-24 11:00:00
8872.44,8876.73,8847.8,8856.84,0,0,2024-10-24 12:00:00
8858.39,8900.16,8856.87,8883.24,0,0,2024-10-24 13:00:00
8886.04,8902.16,8880.8,8898.31,0,0,2024-10-24 14:00:00
8898.6,8920.17,8887.68,8891.35,0,0,2024-10-24 15:00:00
8895.11,8908.16,8832.66,8849.51,0,0,2024-10-24 16:00:00
8848.16,8874.81,8824.34,8872.85,0,0,2024-10-24 17:00:00
8843.64,8879.71,8820.75,8871.43,0,0,2024-10-25 10:00:00
8870.14,8887.12,8834.08,8854.01,0,0,2024-10-25 11:00:00
8856.32,8872.98,8844.76,8863.63,0,0,2024-10-25 12:00:00
8864.78,8881.53,8851.8,8853.68,0,0,2024-10-25 13:00:00
8853.62,8854.12,8830.4,8834.04,0,0,2024-10-25 14:00:00
8830.36,8832.35,8783.27,8794.99,0,0,2024-10-25 15:00:00
8795.53,8833.24,8789.01,8809.4,0,0,2024-10-25 16:00:00
8810.85,8920.25,8810.41,8908.47,0,0,2024-10-25 17:00:00
8908.47,8946.73,8908.47,8943.22,0,0,2024-10-28 09:00:00
8942.09,8954.02,8931.01,8942.94,0,0,2024-10-28 10:00:00
8943.77,8947.76,8937.68,8945.8,0,0,2024-10-28 11:00:00
8961.03,8983.61,8932.2,8935.92,0,0,2024-10-30 09:00:00
8934.73,8956.37,8918.6,8955.62,0,0,2024-10-30 10:00:00
8955.37,8967.31,8951.96,8963.79,0,0,2024-10-30 11:00:00
8964.69,8972.87,8950.94,8954.96,0,0,2024-10-30 12:00:00
8953.55,9026.44,8950.11,9020.99,0,0,2024-10-30 13:00:00
9023.57,9035.05,9004.57,9019.85,0,0,2024-10-30 14:00:00
9018.98,9049.84,9009.95,9034.58,0,0,2024-10-30 15:00:00
9034.01,9039.84,9005.36,9006.55,0,0,2024-10-30 16:00:00
9004.6,9050.62,8993.22,9005.9,0,0,2024-10-31 09:00:00
9005.44,9027.58,9004.07,9006.89,0,0,2024-10-31 10:00:00
9006.31,9008.13,8977.58,8980.17,0,0,2024-10-31 11:00:00
8980.46,8980.46,8946.29,8955.07,0,0,2024-10-31 12:00:00
8953.08,8970.01,8943.7,8943.7,0,0,2024-10-31 13:00:00
