<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRP.V,60,20240813,030000,0.568491,0.572197,0.566996,0.570886,10359678.618136,0
XRP.V,60,20240813,040000,0.570986,0.572603,0.568385,0.571586,6923229.4383665,0
XRP.V,60,20240813,050000,0.571386,0.571791,0.566079,0.570308,10533972.783243,0
XRP.V,60,20240813,060000,0.570308,0.572309,0.563407,0.565224,11484142.806225,0
XRP.V,60,20240813,070000,0.565324,0.566853,0.562752,0.566725,9038051.118126,0
XRP.V,60,20240813,080000,0.566825,0.568125,0.56503,0.56593,8672422.989415,0
XRP.V,60,20240813,090000,0.56593,0.569965,0.564041,0.569365,8419016.030601,0
XRP.V,60,20240813,100000,0.569465,0.573615,0.568459,0.573115,24945860.867522,0
XRP.V,60,20240813,110000,0.573115,0.575215,0.569714,0.572997,11032198.969861,0
XRP.V,60,20240813,120000,0.572997,0.572997,0.566808,0.568908,18046701.390675,0
XRP.V,60,20240813,130000,0.568808,0.579168,0.565407,0.575767,35204371.41164,0
XRP.V,60,20240813,140000,0.575767,0.57751,0.573461,0.575304,17285716.545695,0
XRP.V,60,20240813,150000,0.575404,0.578216,0.572103,0.575984,13931560.253195,0
XRP.V,60,20240813,160000,0.575884,0.578868,0.568519,0.57122,26301295.056387,0
XRP.V,60,20240813,170000,0.57122,0.574961,0.567142,0.573392,13987102.111346,0
XRP.V,60,20240813,180000,0.573397,0.57671,0.571609,0.574109,19676477.66507,0
XRP.V,60,20240813,190000,0.574009,0.58111,0.573103,0.579816,20658212.124599,0
XRP.V,60,20240813,200000,0.579716,0.583563,0.578556,0.583069,20060589.448279,0
XRP.V,60,20240813,210000,0.582969,0.583263,0.578398,0.581422,12291752.687369,0
XRP.V,60,20240813,220000,0.581222,0.581934,0.576927,0.577667,8898436.545469,0
XRP.V,60,20240813,230000,0.577673,0.578373,0.573043,0.576052,17943052.125353,0
XRP.V,60,20240813,235900,0.576052,0.57967,0.574546,0.57957,12511795.146738,0
XRP.V,60,20240814,010000,0.57957,0.580064,0.575861,0.575955,14511964.845924,0
XRP.V,60,20240814,020000,0.576055,0.577562,0.574467,0.577167,11237416.164723,0
XRP.V,60,20240814,030000,0.577167,0.578373,0.574967,0.575461,9747938.5967636,0
XRP.V,60,20240814,040000,0.575461,0.575561,0.571366,0.572666,17611662.270652,0
