<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NZ50,60,20240611,040000,11816.2,11827.71,11794.62,11827.71,0,0
^NZ50,60,20240611,050000,11825.58,11825.58,11772.74,11778.51,0,0
^NZ50,60,20240611,060000,11780.51,11794.72,11776.58,11786.75,0,0
^NZ50,60,20240611,070000,11789.27,11809.26,11785.48,11785.48,0,0
^NZ50,60,20240612,010000,11787.74,11790.86,11749.25,11749.25,0,0
^NZ50,60,20240612,020000,11749.25,11770.49,11749.25,11770.49,0,0
^NZ50,60,20240612,030000,11766.11,11781.83,11763.84,11778.54,0,0
^NZ50,60,20240612,040000,11780.6,11801.44,11765.87,11801.44,0,0
^NZ50,60,20240612,050000,11802.6,11810.5,11791.3,11797.77,0,0
^NZ50,60,20240612,060000,11799.19,11803.97,11777.17,11784.19,0,0
^NZ50,60,20240612,070000,11790.89,11790.89,11741.88,11741.88,0,0
^NZ50,60,20240613,010000,11771.14,11772.72,11743.78,11743.78,0,0
^NZ50,60,20240613,020000,11745.04,11772.22,11744.03,11772.22,0,0
^NZ50,60,20240613,030000,11765.38,11812.8,11765.38,11812.8,0,0
^NZ50,60,20240613,040000,11813.53,11818.98,11793.04,11818.98,0,0
^NZ50,60,20240613,050000,11819.94,11819.94,11804.37,11814.83,0,0
^NZ50,60,20240613,060000,11812.81,11826.48,11801.87,11806.15,0,0
^NZ50,60,20240613,070000,11807.41,11872.64,11799.82,11872.64,0,0
^NZ50,60,20240614,010000,11837.8,11841.63,11818.69,11823.2,0,0
^NZ50,60,20240614,020000,11824.52,11861.63,11824.52,11859.89,0,0
^NZ50,60,20240614,030000,11860.23,11868.25,11846.44,11849.29,0,0
^NZ50,60,20240614,040000,11850.74,11873.43,11848.35,11873.43,0,0
^NZ50,60,20240614,050000,11872.49,11873.23,11852.57,11872.7,0,0
^NZ50,60,20240614,060000,11876.31,11881.32,11857.05,11861.74,0,0
^NZ50,60,20240614,070000,11861.08,11879.56,11850.62,11864.89,0,0
^NZ50,60,20240617,010000,11864.89,11864.89,11770.98,11784.08,0,0
^NZ50,60,20240617,020000,11780.09,11790.22,11760.71,11760.71,0,0
^NZ50,60,20240617,030000,11774.05,11823.3,11774.05,11797.67,0,0
^NZ50,60,20240617,040000,11797.14,11797.14,11758.34,11758.34,0,0
^NZ50,60,20240617,050000,11759.06,11760.42,11706.7,11709.64,0,0
